YMD,Year,Month,Day,week,week_year,Season_Year,Season,Cell2,EMD,JD,LMB_Spawning,CC_Spawning,NP_Spawning
2012-10-05,2012,10,5,40,40 - 2012,Fall 2012,Fall,Before,During,279,,,
2012-10-06,2012,10,6,40,40 - 2012,Fall 2012,Fall,Before,During,280,,,
2012-10-07,2012,10,7,41,41 - 2012,Fall 2012,Fall,Before,During,281,,,
2012-10-08,2012,10,8,41,41 - 2012,Fall 2012,Fall,Before,During,282,,,
2012-10-09,2012,10,9,41,41 - 2012,Fall 2012,Fall,Before,During,283,,,
2012-10-10,2012,10,10,41,41 - 2012,Fall 2012,Fall,Before,During,284,,,
2012-10-11,2012,10,11,41,41 - 2012,Fall 2012,Fall,Before,During,285,,,
2012-10-12,2012,10,12,41,41 - 2012,Fall 2012,Fall,Before,During,286,,,
2012-10-13,2012,10,13,41,41 - 2012,Fall 2012,Fall,Before,During,287,,,
2012-10-14,2012,10,14,42,42 - 2012,Fall 2012,Fall,Before,During,288,,,
2012-10-15,2012,10,15,42,42 - 2012,Fall 2012,Fall,Before,During,289,,,
2012-10-16,2012,10,16,42,42 - 2012,Fall 2012,Fall,Before,During,290,,,
2012-10-17,2012,10,17,42,42 - 2012,Fall 2012,Fall,Before,During,291,,,
2012-10-18,2012,10,18,42,42 - 2012,Fall 2012,Fall,Before,During,292,,,
2012-10-19,2012,10,19,42,42 - 2012,Fall 2012,Fall,Before,During,293,,,
2012-10-20,2012,10,20,42,42 - 2012,Fall 2012,Fall,Before,During,294,,,
2012-10-21,2012,10,21,43,43 - 2012,Fall 2012,Fall,Before,During,295,,,
2012-10-22,2012,10,22,43,43 - 2012,Fall 2012,Fall,Before,During,296,,,
2012-10-23,2012,10,23,43,43 - 2012,Fall 2012,Fall,Before,During,297,,,
2012-10-24,2012,10,24,43,43 - 2012,Fall 2012,Fall,Before,During,298,,,
2012-10-25,2012,10,25,43,43 - 2012,Fall 2012,Fall,Before,During,299,,,
2012-10-26,2012,10,26,43,43 - 2012,Fall 2012,Fall,Before,During,300,,,
2012-10-27,2012,10,27,43,43 - 2012,Fall 2012,Fall,Before,During,301,,,
2012-10-28,2012,10,28,44,44 - 2012,Fall 2012,Fall,Before,During,302,,,
2012-10-29,2012,10,29,44,44 - 2012,Fall 2012,Fall,Before,During,303,,,
2012-10-30,2012,10,30,44,44 - 2012,Fall 2012,Fall,Before,During,304,,,
2012-10-31,2012,10,31,44,44 - 2012,Fall 2012,Fall,Before,During,305,,,
2012-11-01,2012,11,1,44,44 - 2012,Fall 2012,Fall,Before,During,306,,,
2012-11-02,2012,11,2,44,44 - 2012,Fall 2012,Fall,Before,During,307,,,
2012-11-03,2012,11,3,44,44 - 2012,Fall 2012,Fall,Before,During,308,,,
2012-11-04,2012,11,4,45,45 - 2012,Fall 2012,Fall,Before,During,309,,,
2012-11-05,2012,11,5,45,45 - 2012,Fall 2012,Fall,Before,During,310,,,
2012-11-06,2012,11,6,45,45 - 2012,Fall 2012,Fall,Before,During,311,,,
2012-11-07,2012,11,7,45,45 - 2012,Fall 2012,Fall,Before,During,312,,,
2012-11-08,2012,11,8,45,45 - 2012,Fall 2012,Fall,Before,During,313,,,
2012-11-09,2012,11,9,45,45 - 2012,Fall 2012,Fall,Before,During,314,,,
2012-11-10,2012,11,10,45,45 - 2012,Fall 2012,Fall,Before,During,315,,,
2012-11-11,2012,11,11,46,46 - 2012,Fall 2012,Fall,Before,During,316,,,
2012-11-12,2012,11,12,46,46 - 2012,Fall 2012,Fall,Before,During,317,,,
2012-11-13,2012,11,13,46,46 - 2012,Fall 2012,Fall,Before,During,318,,,
2012-11-14,2012,11,14,46,46 - 2012,Fall 2012,Fall,Before,During,319,,,
2012-11-15,2012,11,15,46,46 - 2012,Winter 2012,Winter,Before,During,320,,,
2012-11-16,2012,11,16,46,46 - 2012,Winter 2012,Winter,Before,During,321,,,
2012-11-17,2012,11,17,46,46 - 2012,Winter 2012,Winter,Before,During,322,,,
2012-11-18,2012,11,18,47,47 - 2012,Winter 2012,Winter,Before,During,323,,,
2012-11-19,2012,11,19,47,47 - 2012,Winter 2012,Winter,Before,During,324,,,
2012-11-20,2012,11,20,47,47 - 2012,Winter 2012,Winter,Before,During,325,,,
2012-11-21,2012,11,21,47,47 - 2012,Winter 2012,Winter,Before,During,326,,,
2012-11-22,2012,11,22,47,47 - 2012,Winter 2012,Winter,Before,During,327,,,
2012-11-23,2012,11,23,47,47 - 2012,Winter 2012,Winter,Before,During,328,,,
2012-11-24,2012,11,24,47,47 - 2012,Winter 2012,Winter,Before,During,329,,,
2012-11-25,2012,11,25,48,48 - 2012,Winter 2012,Winter,Before,During,330,,,
2012-11-26,2012,11,26,48,48 - 2012,Winter 2012,Winter,Before,During,331,,,
2012-11-27,2012,11,27,48,48 - 2012,Winter 2012,Winter,Before,During,332,,,
2012-11-28,2012,11,28,48,48 - 2012,Winter 2012,Winter,Before,During,333,,,
2012-11-29,2012,11,29,48,48 - 2012,Winter 2012,Winter,Before,During,334,,,
2012-11-30,2012,11,30,48,48 - 2012,Winter 2012,Winter,Before,During,335,,,
2012-12-01,2012,12,1,48,48 - 2012,Winter 2012,Winter,Before,During,336,,,
2012-12-02,2012,12,2,49,49 - 2012,Winter 2012,Winter,Before,During,337,,,
2012-12-03,2012,12,3,49,49 - 2012,Winter 2012,Winter,Before,During,338,,,
2012-12-04,2012,12,4,49,49 - 2012,Winter 2012,Winter,Before,During,339,,,
2012-12-05,2012,12,5,49,49 - 2012,Winter 2012,Winter,Before,During,340,,,
2012-12-06,2012,12,6,49,49 - 2012,Winter 2012,Winter,Before,During,341,,,
2012-12-07,2012,12,7,49,49 - 2012,Winter 2012,Winter,Before,During,342,,,
2012-12-08,2012,12,8,49,49 - 2012,Winter 2012,Winter,Before,During,343,,,
2012-12-09,2012,12,9,50,50 - 2012,Winter 2012,Winter,Before,During,344,,,
2012-12-10,2012,12,10,50,50 - 2012,Winter 2012,Winter,Before,During,345,,,
2012-12-11,2012,12,11,50,50 - 2012,Winter 2012,Winter,Before,During,346,,,
2012-12-12,2012,12,12,50,50 - 2012,Winter 2012,Winter,Before,During,347,,,
2012-12-13,2012,12,13,50,50 - 2012,Winter 2012,Winter,Before,During,348,,,
2012-12-14,2012,12,14,50,50 - 2012,Winter 2012,Winter,Before,During,349,,,
2012-12-15,2012,12,15,50,50 - 2012,Winter 2012,Winter,Before,During,350,,,
2012-12-16,2012,12,16,51,51 - 2012,Winter 2012,Winter,Before,During,351,,,
2012-12-17,2012,12,17,51,51 - 2012,Winter 2012,Winter,Before,During,352,,,
2012-12-18,2012,12,18,51,51 - 2012,Winter 2012,Winter,Before,During,353,,,
2012-12-19,2012,12,19,51,51 - 2012,Winter 2012,Winter,Before,During,354,,,
2012-12-20,2012,12,20,51,51 - 2012,Winter 2012,Winter,Before,During,355,,,
2012-12-21,2012,12,21,51,51 - 2012,Winter 2012,Winter,Before,During,356,,,
2012-12-22,2012,12,22,51,51 - 2012,Winter 2012,Winter,Before,During,357,,,
2012-12-23,2012,12,23,52,52 - 2012,Winter 2012,Winter,Before,During,358,,,
2012-12-24,2012,12,24,52,52 - 2012,Winter 2012,Winter,Before,During,359,,,
2012-12-25,2012,12,25,52,52 - 2012,Winter 2012,Winter,Before,During,360,,,
2012-12-26,2012,12,26,52,52 - 2012,Winter 2012,Winter,Before,During,361,,,
2012-12-27,2012,12,27,52,52 - 2012,Winter 2012,Winter,Before,During,362,,,
2012-12-28,2012,12,28,52,52 - 2012,Winter 2012,Winter,Before,During,363,,,
2012-12-29,2012,12,29,52,52 - 2012,Winter 2012,Winter,Before,During,364,,,
2012-12-30,2012,12,30,53,53 - 2012,Winter 2012,Winter,Before,During,365,,,
2012-12-31,2012,12,31,53,53 - 2012,Winter 2012,Winter,Before,During,366,,,
2013-01-01,2013,1,1,1,1 - 2013,Winter 2012,Winter,Before,During,1,,,
2013-01-02,2013,1,2,1,1 - 2013,Winter 2012,Winter,Before,During,2,,,
2013-01-03,2013,1,3,1,1 - 2013,Winter 2012,Winter,Before,During,3,,,
2013-01-04,2013,1,4,1,1 - 2013,Winter 2012,Winter,Before,During,4,,,
2013-01-05,2013,1,5,1,1 - 2013,Winter 2012,Winter,Before,During,5,,,
2013-01-06,2013,1,6,2,2 - 2013,Winter 2012,Winter,Before,During,6,,,
2013-01-07,2013,1,7,2,2 - 2013,Winter 2012,Winter,Before,During,7,,,
2013-01-08,2013,1,8,2,2 - 2013,Winter 2012,Winter,Before,During,8,,,
2013-01-09,2013,1,9,2,2 - 2013,Winter 2012,Winter,Before,During,9,,,
2013-01-10,2013,1,10,2,2 - 2013,Winter 2012,Winter,Before,During,10,,,
2013-01-11,2013,1,11,2,2 - 2013,Winter 2012,Winter,Before,During,11,,,
2013-01-12,2013,1,12,2,2 - 2013,Winter 2012,Winter,Before,During,12,,,
2013-01-13,2013,1,13,3,3 - 2013,Winter 2012,Winter,Before,During,13,,,
2013-01-14,2013,1,14,3,3 - 2013,Winter 2012,Winter,Before,During,14,,,
2013-01-15,2013,1,15,3,3 - 2013,Winter 2012,Winter,Before,During,15,,,
2013-01-16,2013,1,16,3,3 - 2013,Winter 2012,Winter,Before,During,16,,,
2013-01-17,2013,1,17,3,3 - 2013,Winter 2012,Winter,Before,During,17,,,
2013-01-18,2013,1,18,3,3 - 2013,Winter 2012,Winter,Before,During,18,,,
2013-01-19,2013,1,19,3,3 - 2013,Winter 2012,Winter,Before,During,19,,,
2013-01-20,2013,1,20,4,4 - 2013,Winter 2012,Winter,Before,During,20,,,
2013-01-21,2013,1,21,4,4 - 2013,Winter 2012,Winter,Before,During,21,,,
2013-01-22,2013,1,22,4,4 - 2013,Winter 2012,Winter,Before,During,22,,,
2013-01-23,2013,1,23,4,4 - 2013,Winter 2012,Winter,Before,During,23,,,
2013-01-24,2013,1,24,4,4 - 2013,Winter 2012,Winter,Before,During,24,,,
2013-01-25,2013,1,25,4,4 - 2013,Winter 2012,Winter,Before,During,25,,,
2013-01-26,2013,1,26,4,4 - 2013,Winter 2012,Winter,Before,During,26,,,
2013-01-27,2013,1,27,5,5 - 2013,Winter 2012,Winter,Before,During,27,,,
2013-01-28,2013,1,28,5,5 - 2013,Winter 2012,Winter,Before,During,28,,,
2013-01-29,2013,1,29,5,5 - 2013,Winter 2012,Winter,Before,During,29,,,
2013-01-30,2013,1,30,5,5 - 2013,Winter 2012,Winter,Before,During,30,,,
2013-01-31,2013,1,31,5,5 - 2013,Winter 2012,Winter,Before,During,31,,,
2013-02-01,2013,2,1,5,5 - 2013,Winter 2012,Winter,Before,During,32,,,
2013-02-02,2013,2,2,5,5 - 2013,Winter 2012,Winter,Before,During,33,,,
2013-02-03,2013,2,3,6,6 - 2013,Winter 2012,Winter,Before,During,34,,,
2013-02-04,2013,2,4,6,6 - 2013,Winter 2012,Winter,Before,During,35,,,
2013-02-05,2013,2,5,6,6 - 2013,Winter 2012,Winter,Before,During,36,,,
2013-02-06,2013,2,6,6,6 - 2013,Winter 2012,Winter,Before,During,37,,,
2013-02-07,2013,2,7,6,6 - 2013,Winter 2012,Winter,Before,During,38,,,
2013-02-08,2013,2,8,6,6 - 2013,Winter 2012,Winter,Before,During,39,,,
2013-02-09,2013,2,9,6,6 - 2013,Winter 2012,Winter,Before,During,40,,,
2013-02-10,2013,2,10,7,7 - 2013,Winter 2012,Winter,Before,During,41,,,
2013-02-11,2013,2,11,7,7 - 2013,Winter 2012,Winter,Before,During,42,,,
2013-02-12,2013,2,12,7,7 - 2013,Winter 2012,Winter,Before,During,43,,,
2013-02-13,2013,2,13,7,7 - 2013,Winter 2012,Winter,Before,During,44,,,
2013-02-14,2013,2,14,7,7 - 2013,Winter 2012,Winter,Before,During,45,,,
2013-02-15,2013,2,15,7,7 - 2013,Winter 2012,Winter,Before,During,46,,,
2013-02-16,2013,2,16,7,7 - 2013,Winter 2012,Winter,Before,During,47,,,
2013-02-17,2013,2,17,8,8 - 2013,Winter 2012,Winter,Before,During,48,,,
2013-02-18,2013,2,18,8,8 - 2013,Winter 2012,Winter,Before,During,49,,,
2013-02-19,2013,2,19,8,8 - 2013,Winter 2012,Winter,Before,During,50,,,
2013-02-20,2013,2,20,8,8 - 2013,Winter 2012,Winter,Before,During,51,,,
2013-02-21,2013,2,21,8,8 - 2013,Winter 2012,Winter,Before,During,52,,,
2013-02-22,2013,2,22,8,8 - 2013,Winter 2012,Winter,Before,During,53,,,
2013-02-23,2013,2,23,8,8 - 2013,Winter 2012,Winter,Before,During,54,,,
2013-02-24,2013,2,24,9,9 - 2013,Winter 2012,Winter,Before,During,55,,,
2013-02-25,2013,2,25,9,9 - 2013,Winter 2012,Winter,Before,During,56,,,
2013-02-26,2013,2,26,9,9 - 2013,Winter 2012,Winter,Before,During,57,,,
2013-02-27,2013,2,27,9,9 - 2013,Winter 2012,Winter,Before,During,58,,,
2013-02-28,2013,2,28,9,9 - 2013,Winter 2012,Winter,Before,During,59,,,
2013-03-01,2013,3,1,9,9 - 2013,Winter 2012,Winter,Before,During,60,,,
2013-03-02,2013,3,2,9,9 - 2013,Winter 2012,Winter,Before,During,61,,,
2013-03-03,2013,3,3,10,10 - 2013,Winter 2012,Winter,Before,During,62,,,
2013-03-04,2013,3,4,10,10 - 2013,Winter 2012,Winter,Before,During,63,,,
2013-03-05,2013,3,5,10,10 - 2013,Winter 2012,Winter,Before,During,64,,,
2013-03-06,2013,3,6,10,10 - 2013,Winter 2012,Winter,Before,During,65,,,
2013-03-07,2013,3,7,10,10 - 2013,Winter 2012,Winter,Before,During,66,,,
2013-03-08,2013,3,8,10,10 - 2013,Winter 2012,Winter,Before,During,67,,,
2013-03-09,2013,3,9,10,10 - 2013,Winter 2012,Winter,Before,During,68,,,
2013-03-10,2013,3,10,11,11 - 2013,Winter 2012,Winter,Before,During,69,,,
2013-03-11,2013,3,11,11,11 - 2013,Winter 2012,Winter,Before,During,70,,,
2013-03-12,2013,3,12,11,11 - 2013,Winter 2012,Winter,Before,During,71,,,
2013-03-13,2013,3,13,11,11 - 2013,Winter 2012,Winter,Before,During,72,,,
2013-03-14,2013,3,14,11,11 - 2013,Winter 2012,Winter,Before,During,73,,,
2013-03-15,2013,3,15,11,11 - 2013,Winter 2012,Winter,Before,During,74,,,Spawning
2013-03-16,2013,3,16,11,11 - 2013,Winter 2012,Winter,Before,During,75,,,Spawning
2013-03-17,2013,3,17,12,12 - 2013,Winter 2012,Winter,Before,During,76,,,Spawning
2013-03-18,2013,3,18,12,12 - 2013,Winter 2012,Winter,Before,During,77,,,Spawning
2013-03-19,2013,3,19,12,12 - 2013,Winter 2012,Winter,Before,During,78,,,Spawning
2013-03-20,2013,3,20,12,12 - 2013,Winter 2012,Winter,Before,During,79,,,Spawning
2013-03-21,2013,3,21,12,12 - 2013,Winter 2012,Winter,Before,During,80,,,Spawning
2013-03-22,2013,3,22,12,12 - 2013,Winter 2012,Winter,Before,During,81,,,Spawning
2013-03-23,2013,3,23,12,12 - 2013,Winter 2012,Winter,Before,During,82,,,Spawning
2013-03-24,2013,3,24,13,13 - 2013,Winter 2012,Winter,Before,During,83,,,Spawning
2013-03-25,2013,3,25,13,13 - 2013,Winter 2012,Winter,Before,During,84,,,Spawning
2013-03-26,2013,3,26,13,13 - 2013,Winter 2012,Winter,Before,During,85,,,Spawning
2013-03-27,2013,3,27,13,13 - 2013,Winter 2012,Winter,Before,During,86,,,Spawning
2013-03-28,2013,3,28,13,13 - 2013,Winter 2012,Winter,Before,During,87,,,Spawning
2013-03-29,2013,3,29,13,13 - 2013,Winter 2012,Winter,Before,During,88,,,Spawning
2013-03-30,2013,3,30,13,13 - 2013,Winter 2012,Winter,Before,During,89,,,Spawning
2013-03-31,2013,3,31,14,14 - 2013,Winter 2012,Winter,Before,During,90,,,Spawning
2013-04-01,2013,4,1,14,14 - 2013,Winter 2012,Winter,Before,During,91,,,Spawning
2013-04-02,2013,4,2,14,14 - 2013,Winter 2012,Winter,Before,During,92,,,Spawning
2013-04-03,2013,4,3,14,14 - 2013,Winter 2012,Winter,Before,During,93,,,Spawning
2013-04-04,2013,4,4,14,14 - 2013,Winter 2012,Winter,Before,During,94,,,Spawning
2013-04-05,2013,4,5,14,14 - 2013,Winter 2012,Winter,Before,During,95,,,Spawning
2013-04-06,2013,4,6,14,14 - 2013,Winter 2012,Winter,Before,During,96,,,Spawning
2013-04-07,2013,4,7,15,15 - 2013,Winter 2012,Winter,Before,During,97,,,Spawning
2013-04-08,2013,4,8,15,15 - 2013,Winter 2012,Winter,Before,During,98,,,Spawning
2013-04-09,2013,4,9,15,15 - 2013,Winter 2012,Winter,Before,During,99,,,Spawning
2013-04-10,2013,4,10,15,15 - 2013,Winter 2012,Winter,Before,During,100,,,Spawning
2013-04-11,2013,4,11,15,15 - 2013,Winter 2012,Winter,Before,During,101,,,Spawning
2013-04-12,2013,4,12,15,15 - 2013,Winter 2012,Winter,Before,During,102,,,Spawning
2013-04-13,2013,4,13,15,15 - 2013,Winter 2012,Winter,Before,During,103,,,Spawning
2013-04-14,2013,4,14,16,16 - 2013,Winter 2012,Winter,Before,During,104,,,Spawning
2013-04-15,2013,4,15,16,16 - 2013,Winter 2012,Winter,Before,During,105,,,Spawning
2013-04-16,2013,4,16,16,16 - 2013,Winter 2012,Winter,Before,During,106,,,Spawning
2013-04-17,2013,4,17,16,16 - 2013,Winter 2012,Winter,Before,During,107,,,Spawning
2013-04-18,2013,4,18,16,16 - 2013,Winter 2012,Winter,Before,During,108,,,Spawning
2013-04-19,2013,4,19,16,16 - 2013,Winter 2012,Winter,Before,During,109,,,Spawning
2013-04-20,2013,4,20,16,16 - 2013,Spring 2013,Spring,Before,During,110,,,Spawning
2013-04-21,2013,4,21,17,17 - 2013,Spring 2013,Spring,Before,During,111,,,Spawning
2013-04-22,2013,4,22,17,17 - 2013,Spring 2013,Spring,Before,During,112,,,Spawning
2013-04-23,2013,4,23,17,17 - 2013,Spring 2013,Spring,Before,During,113,,,Spawning
2013-04-24,2013,4,24,17,17 - 2013,Spring 2013,Spring,Before,During,114,,,Spawning
2013-04-25,2013,4,25,17,17 - 2013,Spring 2013,Spring,Before,During,115,,,Spawning
2013-04-26,2013,4,26,17,17 - 2013,Spring 2013,Spring,Before,During,116,,,Spawning
2013-04-27,2013,4,27,17,17 - 2013,Spring 2013,Spring,Before,During,117,,,Spawning
2013-04-28,2013,4,28,18,18 - 2013,Spring 2013,Spring,Before,During,118,,,Spawning
2013-04-29,2013,4,29,18,18 - 2013,Spring 2013,Spring,Before,During,119,,,Spawning
2013-04-30,2013,4,30,18,18 - 2013,Spring 2013,Spring,Before,During,120,,,Spawning
2013-05-01,2013,5,1,18,18 - 2013,Spring 2013,Spring,Before,During,121,Spawning,Spawning,
2013-05-02,2013,5,2,18,18 - 2013,Spring 2013,Spring,Before,During,122,Spawning,Spawning,
2013-05-03,2013,5,3,18,18 - 2013,Spring 2013,Spring,Before,During,123,Spawning,Spawning,
2013-05-04,2013,5,4,18,18 - 2013,Spring 2013,Spring,Before,During,124,Spawning,Spawning,
2013-05-05,2013,5,5,19,19 - 2013,Spring 2013,Spring,Before,During,125,Spawning,Spawning,
2013-05-06,2013,5,6,19,19 - 2013,Spring 2013,Spring,Before,During,126,Spawning,Spawning,
2013-05-07,2013,5,7,19,19 - 2013,Spring 2013,Spring,Before,During,127,Spawning,Spawning,
2013-05-08,2013,5,8,19,19 - 2013,Spring 2013,Spring,Before,During,128,Spawning,Spawning,
2013-05-09,2013,5,9,19,19 - 2013,Spring 2013,Spring,Before,During,129,Spawning,Spawning,
2013-05-10,2013,5,10,19,19 - 2013,Spring 2013,Spring,Before,During,130,Spawning,Spawning,
2013-05-11,2013,5,11,19,19 - 2013,Spring 2013,Spring,Before,During,131,Spawning,Spawning,
2013-05-12,2013,5,12,20,20 - 2013,Spring 2013,Spring,Before,During,132,Spawning,Spawning,
2013-05-13,2013,5,13,20,20 - 2013,Spring 2013,Spring,Before,During,133,Spawning,Spawning,
2013-05-14,2013,5,14,20,20 - 2013,Spring 2013,Spring,Before,During,134,Spawning,Spawning,
2013-05-15,2013,5,15,20,20 - 2013,Spring 2013,Spring,Before,During,135,Spawning,Spawning,
2013-05-16,2013,5,16,20,20 - 2013,Spring 2013,Spring,Before,During,136,Spawning,Spawning,
2013-05-17,2013,5,17,20,20 - 2013,Spring 2013,Spring,Before,During,137,Spawning,Spawning,
2013-05-18,2013,5,18,20,20 - 2013,Spring 2013,Spring,Before,During,138,Spawning,Spawning,
2013-05-19,2013,5,19,21,21 - 2013,Spring 2013,Spring,Before,During,139,Spawning,Spawning,
2013-05-20,2013,5,20,21,21 - 2013,Spring 2013,Spring,Before,During,140,Spawning,Spawning,
2013-05-21,2013,5,21,21,21 - 2013,Spring 2013,Spring,Before,During,141,Spawning,Spawning,
2013-05-22,2013,5,22,21,21 - 2013,Spring 2013,Spring,Before,During,142,Spawning,Spawning,
2013-05-23,2013,5,23,21,21 - 2013,Spring 2013,Spring,Before,During,143,Spawning,Spawning,
2013-05-24,2013,5,24,21,21 - 2013,Spring 2013,Spring,Before,During,144,Spawning,Spawning,
2013-05-25,2013,5,25,21,21 - 2013,Spring 2013,Spring,Before,During,145,Spawning,Spawning,
2013-05-26,2013,5,26,22,22 - 2013,Spring 2013,Spring,Before,During,146,Spawning,Spawning,
2013-05-27,2013,5,27,22,22 - 2013,Spring 2013,Spring,Before,During,147,Spawning,Spawning,
2013-05-28,2013,5,28,22,22 - 2013,Spring 2013,Spring,Before,During,148,Spawning,Spawning,
2013-05-29,2013,5,29,22,22 - 2013,Spring 2013,Spring,Before,During,149,Spawning,Spawning,
2013-05-30,2013,5,30,22,22 - 2013,Spring 2013,Spring,Before,During,150,Spawning,Spawning,
2013-05-31,2013,5,31,22,22 - 2013,Spring 2013,Spring,Before,During,151,Spawning,Spawning,
2013-06-01,2013,6,1,22,22 - 2013,Spring 2013,Spring,Before,During,152,Spawning,Spawning,
2013-06-02,2013,6,2,23,23 - 2013,Spring 2013,Spring,Before,During,153,Spawning,Spawning,
2013-06-03,2013,6,3,23,23 - 2013,Spring 2013,Spring,Before,During,154,Spawning,Spawning,
2013-06-04,2013,6,4,23,23 - 2013,Spring 2013,Spring,Before,During,155,Spawning,Spawning,
2013-06-05,2013,6,5,23,23 - 2013,Spring 2013,Spring,Before,During,156,Spawning,Spawning,
2013-06-06,2013,6,6,23,23 - 2013,Spring 2013,Spring,Before,During,157,Spawning,Spawning,
2013-06-07,2013,6,7,23,23 - 2013,Spring 2013,Spring,Before,During,158,Spawning,Spawning,
2013-06-08,2013,6,8,23,23 - 2013,Spring 2013,Spring,Before,During,159,Spawning,Spawning,
2013-06-09,2013,6,9,24,24 - 2013,Spring 2013,Spring,Before,During,160,Spawning,Spawning,
2013-06-10,2013,6,10,24,24 - 2013,Spring 2013,Spring,Before,During,161,Spawning,Spawning,
2013-06-11,2013,6,11,24,24 - 2013,Spring 2013,Spring,Before,During,162,Spawning,Spawning,
2013-06-12,2013,6,12,24,24 - 2013,Summer 2013,Summer,Before,During,163,Spawning,Spawning,
2013-06-13,2013,6,13,24,24 - 2013,Summer 2013,Summer,Before,During,164,Spawning,Spawning,
2013-06-14,2013,6,14,24,24 - 2013,Summer 2013,Summer,Before,During,165,Spawning,Spawning,
2013-06-15,2013,6,15,24,24 - 2013,Summer 2013,Summer,Before,During,166,Spawning,Spawning,
2013-06-16,2013,6,16,25,25 - 2013,Summer 2013,Summer,Before,During,167,Spawning,Spawning,
2013-06-17,2013,6,17,25,25 - 2013,Summer 2013,Summer,Before,During,168,Spawning,Spawning,
2013-06-18,2013,6,18,25,25 - 2013,Summer 2013,Summer,Before,During,169,Spawning,Spawning,
2013-06-19,2013,6,19,25,25 - 2013,Summer 2013,Summer,Before,During,170,Spawning,Spawning,
2013-06-20,2013,6,20,25,25 - 2013,Summer 2013,Summer,Before,During,171,Spawning,Spawning,
2013-06-21,2013,6,21,25,25 - 2013,Summer 2013,Summer,Before,During,172,Spawning,Spawning,
2013-06-22,2013,6,22,25,25 - 2013,Summer 2013,Summer,Before,During,173,Spawning,Spawning,
2013-06-23,2013,6,23,26,26 - 2013,Summer 2013,Summer,Before,During,174,Spawning,Spawning,
2013-06-24,2013,6,24,26,26 - 2013,Summer 2013,Summer,Before,During,175,Spawning,Spawning,
2013-06-25,2013,6,25,26,26 - 2013,Summer 2013,Summer,Before,During,176,Spawning,Spawning,
2013-06-26,2013,6,26,26,26 - 2013,Summer 2013,Summer,Before,During,177,Spawning,Spawning,
2013-06-27,2013,6,27,26,26 - 2013,Summer 2013,Summer,Before,During,178,Spawning,Spawning,
2013-06-28,2013,6,28,26,26 - 2013,Summer 2013,Summer,Before,During,179,Spawning,Spawning,
2013-06-29,2013,6,29,26,26 - 2013,Summer 2013,Summer,Before,During,180,Spawning,Spawning,
2013-06-30,2013,6,30,27,27 - 2013,Summer 2013,Summer,Before,During,181,Spawning,Spawning,
2013-07-01,2013,7,1,27,27 - 2013,Summer 2013,Summer,Before,During,182,,Spawning,
2013-07-02,2013,7,2,27,27 - 2013,Summer 2013,Summer,Before,During,183,,Spawning,
2013-07-03,2013,7,3,27,27 - 2013,Summer 2013,Summer,Before,During,184,,Spawning,
2013-07-04,2013,7,4,27,27 - 2013,Summer 2013,Summer,Before,During,185,,Spawning,
2013-07-05,2013,7,5,27,27 - 2013,Summer 2013,Summer,Before,During,186,,Spawning,
2013-07-06,2013,7,6,27,27 - 2013,Summer 2013,Summer,Before,During,187,,Spawning,
2013-07-07,2013,7,7,28,28 - 2013,Summer 2013,Summer,Before,During,188,,Spawning,
2013-07-08,2013,7,8,28,28 - 2013,Summer 2013,Summer,Before,During,189,,Spawning,
2013-07-09,2013,7,9,28,28 - 2013,Summer 2013,Summer,Before,During,190,,Spawning,
2013-07-10,2013,7,10,28,28 - 2013,Summer 2013,Summer,Before,During,191,,Spawning,
2013-07-11,2013,7,11,28,28 - 2013,Summer 2013,Summer,Before,During,192,,Spawning,
2013-07-12,2013,7,12,28,28 - 2013,Summer 2013,Summer,Before,During,193,,Spawning,
2013-07-13,2013,7,13,28,28 - 2013,Summer 2013,Summer,Before,During,194,,Spawning,
2013-07-14,2013,7,14,29,29 - 2013,Summer 2013,Summer,Before,During,195,,Spawning,
2013-07-15,2013,7,15,29,29 - 2013,Summer 2013,Summer,Before,During,196,,Spawning,
2013-07-16,2013,7,16,29,29 - 2013,Summer 2013,Summer,Before,During,197,,Spawning,
2013-07-17,2013,7,17,29,29 - 2013,Summer 2013,Summer,Before,During,198,,Spawning,
2013-07-18,2013,7,18,29,29 - 2013,Summer 2013,Summer,Before,During,199,,Spawning,
2013-07-19,2013,7,19,29,29 - 2013,Summer 2013,Summer,Before,During,200,,Spawning,
2013-07-20,2013,7,20,29,29 - 2013,Summer 2013,Summer,Before,During,201,,Spawning,
2013-07-21,2013,7,21,30,30 - 2013,Summer 2013,Summer,Before,During,202,,Spawning,
2013-07-22,2013,7,22,30,30 - 2013,Summer 2013,Summer,Before,During,203,,Spawning,
2013-07-23,2013,7,23,30,30 - 2013,Summer 2013,Summer,Before,During,204,,Spawning,
2013-07-24,2013,7,24,30,30 - 2013,Summer 2013,Summer,Before,During,205,,Spawning,
2013-07-25,2013,7,25,30,30 - 2013,Summer 2013,Summer,Before,During,206,,Spawning,
2013-07-26,2013,7,26,30,30 - 2013,Summer 2013,Summer,Before,During,207,,Spawning,
2013-07-27,2013,7,27,30,30 - 2013,Summer 2013,Summer,Before,During,208,,Spawning,
2013-07-28,2013,7,28,31,31 - 2013,Summer 2013,Summer,Before,During,209,,Spawning,
2013-07-29,2013,7,29,31,31 - 2013,Summer 2013,Summer,Before,During,210,,Spawning,
